Company,TypeName,Ram,Weight,Price,Touchscreen,IPS,PPI,Cpu brand,HDD,SSD,Gpu brand,OS
Asus,Gaming,16,2.9,74964,0,0,127.33567457123111,Intel Core i7,256,256,Nvidia,Windows
HP,Notebook,4,2.1,18594,0,0,141.21199808219862,Intel Core i3,500,0,Intel,Others/No OS/Linux
Lenovo,Notebook,8,2.2,29250,0,0,141.21199808219862,Intel Core i5,0,256,Intel,Others/No OS/Linux
Huawei,Ultrabook,8,1.05,79866,0,1,199.69207064108247,Intel Core i7,0,512,Intel,Windows
Dell,Ultrabook,8,1.4,49650,0,1,165.6321180513006,Intel Core i7,0,256,AMD,Windows
Lenovo,Notebook,8,2.8,31381,0,0,106.11306214269258,Intel Core i5,1000,0,Nvidia,Others/No OS/Linux
HP,Notebook,8,1.63,54931,0,0,157.3505121487356,Intel Core i7,0,256,Nvidia,Windows
Dell,Ultrabook,8,1.6,61218,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
Dell,2 in 1 Convertible,16,1.62,68145,1,0,165.6321180513006,Intel Core i7,0,512,Intel,Windows
Dell,Notebook,8,2.2,36089,0,0,141.21199808219862,Intel Core i5,0,256,AMD,Others/No OS/Linux
Lenovo,2 in 1 Convertible,8,1.74,47898,0,1,157.3505121487356,Intel Core i5,0,256,Intel,Windows
Toshiba,Ultrabook,8,1.2,72620,0,0,165.6321180513006,Intel Core i7,0,256,Intel,Windows
HP,Notebook,8,2.1,42304,0,0,141.21199808219862,Intel Core i5,1000,0,Intel,Windows
Dell,Gaming,16,4.42,130873,0,1,127.33567457123111,Intel Core i7,256,256,Nvidia,Windows
Acer,Notebook,8,2.2,44328,0,0,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows
Dell,Notebook,16,2.3,45768,1,0,141.21199808219862,Intel Core i7,1000,0,AMD,Windows
Asus,Notebook,8,2.0,40972,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows
Asus,Notebook,8,2.69,47472,0,0,127.33567457123111,Intel Core i5,256,256,Nvidia,Windows
HP,Notebook,8,1.9,67612,0,0,141.21199808219862,Intel Core i7,1000,0,AMD,Windows
Asus,Notebook,4,2.37,21258,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,Windows
HP,Notebook,4,2.1,17582,0,0,100.45466986113651,AMD Processor,500,0,AMD,Windows
Lenovo,Gaming,16,3.2,79866,0,1,141.21199808219862,Intel Core i7,256,256,Nvidia,Windows
Dell,Notebook,8,1.6,45767,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
Acer,2 in 1 Convertible,8,1.6,36709,1,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,16,2.36,47898,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Others/No OS/Linux
Acer,Notebook,4,2.1,20779,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,Others/No OS/Linux
Asus,Notebook,4,2.2,30636,0,0,141.21199808219862,AMD Processor,128,128,AMD,Windows
Asus,Gaming,32,4.7,207259,0,0,127.33567457123111,Intel Core i7,512,512,Nvidia,Windows
Acer,Gaming,8,2.5,45074,0,1,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows
Lenovo,Notebook,8,2.2,31381,0,0,100.45466986113651,Intel Core i3,0,128,Intel,Windows
Asus,Notebook,8,2.1,61005,0,0,127.33567457123111,Intel Core i7,128,128,Nvidia,Windows
Asus,Notebook,8,2.69,47365,0,0,127.33567457123111,Intel Core i7,128,128,Nvidia,Others/No OS/Linux
Dell,Gaming,8,2.56,46833,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows
Lenovo,2 in 1 Convertible,8,1.38,57489,1,1,158.48253022174808,Intel Core i7,0,256,Intel,Windows
Dell,Notebook,8,2.2,52480,0,0,141.21199808219862,Intel Core i7,128,128,AMD,Windows
HP,Notebook,8,2.04,29783,1,0,100.45466986113651,Intel Core i5,1000,0,Intel,Windows
